"word_0";"dist_0";"word_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"разговор";"-1";"идти";"0.006122887732725631";"0.005690541378660741";"0.006587864531610188";"1.9014555949696619";"1.7671909424418157";"2.045853593816612";"712.0";"661.7246042175643";"766.0698270582907"
"война";"-1";"идти";"0.0053403276432901926";"0.004937452138712409";"0.00577588529640742";"1.658432478196854";"1.5333199633680639";"1.7936943958742069";"621.0";"574.1516219501725";"671.6488216927369"
"бой";"-1";"идти";"0.004858752203637615";"0.004475113588253543";"0.005275104785234837";"1.508879790952049";"1.3897412694714784";"1.6381775962223875";"565.0";"520.3885836100633";"613.4155599510331"
"работа";"-1";"идти";"0.004798555273681043";"0.004417387964713372";"0.005212440526071078";"1.4901857050464484";"1.371814644871306";"1.6187172841290092";"558.0";"513.6759594766944";"606.1286465741753"
"дождь";"1";"идти";"0.004703960098035";"0.004326708182150932";"0.005113936207241626";"1.4608092843376475";"1.3436541448865662";"1.588126883595312";"547.0";"503.1312609614211";"594.6740718590925"
"поезд";"1";"идти";"0.004592165799544223";"0.004219592878688859";"0.004997470299967829";"1.4260916962272463";"1.3103896131875399";"1.5519585328634593";"534.0";"490.67535789833397";"581.130833831759"
"время";"-1";"идти";"0.004531968869587651";"0.004161939280726678";"0.004934734015226079";"1.4073976103216457";"1.2924853560460292";"1.532475853311419";"527.0";"483.9711092593017";"573.8355449605646"
"борьба";"-1";"идти";"0.004222384658382422";"0.003865713494685256";"0.004611811833075855";"1.3112565970928427";"1.2004927860643468";"1.4321927488691268";"491.0";"449.524493729475";"536.2845390092258"
"день";"1";"идти";"0.0037150105344627422";"0.0033813507689962508";"0.004081459833117444";"1.1536921587456375";"1.0500745104141855";"1.267492558102219";"432.0";"393.200374172729";"474.612556694062"
"год";"-1";"идти";"0.0034570236917917186";"0.0031356741303830834";"0.0038111798315709064";"1.073574647721635";"0.9737799188038319";"1.183557421025927";"402.0";"364.6318662515969";"443.1830467142228"
"год";"1";"идти";"0.003164638603431225";"0.0028578142910005745";"0.003504288812105751";"0.982774801894432";"0.88749087198898";"1.0882527753292472";"368.0";"332.3209348290018";"407.49622451571724"
"рука";"-1";"идти";"0.0030958421120522855";"0.0027925325475001758";"0.0034319821182302286";"0.9614101322880313";"0.8672177032087075";"1.0657980164597478";"360.0";"324.7296472860579";"399.08804061840215"
"процесс";"-1";"идти";"0.0030614438663628153";"0.0027599064108387865";"0.0033958140362036573";"0.9507277974848309";"0.8570856947830969";"1.0545660610604721";"356.0";"320.9357169843883";"394.8822351999423"
